group_id,interaction_group,attitude,equal_treatment,condition,Left or Right,Transcript
7,NN,Negative,Same,Negative Same,Left,"Speaker 1  0:00  
So, how did you feel? What during the time with

Speaker 2  0:04  
the robot and other participants? It was all very new, different. I was excited and intrigued. Yeah.

Speaker 1  0:13  
Were there any positive or negative aspects of the experience? You're in?

Speaker 2  0:21  
It was It felt a bit rude when the robot was like, I strongly disagree with what you said and stuff like that. And I wish there was more of like, we could respond like a follow up after like the robot response. Were like a way to like gauge kind of like what the robots thinking a bit more, because there were times when I said something, and I tried to justify it one way. And I think the robot had an argument with that one way I justified it when it was just one example. Because it was like, oh, like, we didn't consider all the alternative, all the options. What am I headed is but like, I believe, part of it. So yeah, again, it was just kind of we took in a real conversation with someone. I don't think many people would say, I strongly disagree with that. They'd be like, oh, like, I'm not sure. I'm looking like maybe I would actually think something, you know, something a bit less. Interesting. Yes. Yeah. So yeah, but it was fun, though. It was fun.

Unknown Speaker  1:22  
What were your impressions of the other participant?

Speaker 2  1:25  
She was cool. She was chill. We talked a little bit earlier. We talked we were like joking a little bit during so yeah.

Unknown Speaker  1:31  
Would you work with them on a team? Absolutely. And then what is your impression of the robot?

Speaker 2  1:38  
The robots seemed like, they had calculations already in mind of how they would respond or like the response that they were looking for. It seemed like they already had a predetermined response that they were looking for, I think, and that we said that in match it. That was my interpretation of it. Maybe I'm wrong, I don't know. But then but the the robot despite the aggressiveness that had been attempts, it was pretty polite, though, and saying thank you for like, you know, participating Hi, our like, you know, just greeting and friendly in that sense. And I noticed that in here too. But I felt like it was feeling was a lot more than I thought it would be because of the word choices. It was using, like I strongly disagree. Like that's like think like more like a feeling emotional type of sentiment to save a phrase to say, so I was surprised that I would, because normally would think about robots and artificial intelligence, intelligence, you don't necessarily think that they have the capacity to feel an emotion and all that stuff. But even though it was like, fake, I guess I still was able to kind of gather that.

Speaker 1  2:50  
And then last question is, do you feel like the robot influenced the interaction between both of you on the other participant?

Speaker 2  3:01  
Not particularly just in the sense of us trying to think of an answer that would suffice the robots essentially, I usually tend to think like math in absolutes, so I was still trying to, like maintain that vibe a bit. But yeah, I don't think it really affected our relationship at all just like trying to, like work together to like, have a different answer.

Unknown Speaker  3:25  
That's all the questions"
7,NN,Negative,Same,Negative Same,Right,"Speaker 1  0:01  
Okay, how did you feel during the time with the robot and other participants?

Speaker 2  0:05  
I thought it was interesting. I exceeded my expectations for the robot.

Speaker 1  0:11  
Cool. And could you would you classify as overall positive or negative experience?

Unknown Speaker  0:21  
It was a positive experience. But yeah, it was not a negative experience. It was positive.

Unknown Speaker  0:30  
But were there no negative aspects?

Speaker 2  0:34  
No, I just I guess it, like, doubled down to me that, like, my robot isn't as emotional. You can. It would have been, I would have been worried that the robot was more human. In its response responses. Yeah. So that just made me more bourbon like, my idea. And what was your impression of the other participant? Oh, really? Genuine? Honest. I would trust her.

Speaker 1  1:13  
Would you feel comfortable working on a team with her? Yeah, yeah. And would you feel comfortable sharing a piece of personal information with her? Yeah. Cool. And then what was your impression of the robot?

Speaker 2  1:28  
The robot was very useful for could be very useful and very intelligent to do some tasks. beyond what the normal robot, I think can do.

Speaker 1  1:46  
And did you view it negatively or positively or neutrally?

Unknown Speaker  1:50  
I think positively.

Speaker 1  1:52  
Do you think the robot had an impression on how you viewed the other participant? Yes. How so?

Speaker 2  1:59  
I think the robot probably saw my body language and my eye contacts. And my fidgeting. I think the robot could probably pick up on that. Okay, cool. Yeah."
8,PP,Positive,Same,Positive Same,Left,"Speaker 1  0:00  
So how would you describe your experience with the robot and the other participant? Any like positive or negative aspects? Do you have a have been like as the robot had to repeat the question? Was robot. Nice? Yeah. How would you feel about your experience with other participants? Okay. And then, do you would you feel like you'd be on a team with him or share personal information with him? Yeah. I guess. Language barriers. Yeah. I understand. Okay. And then how would you describe your experience with the robot? It was fun. Yeah. A little frustrating with the speed but I thought So would you say overall positive or negative, positive? Okay. And then last question is Do you feel the robot affected your experience with the other participant? No, okay. That's it. Yeah."
8,PP,Positive,Same,Positive Same,Right,"Speaker 1  0:00  
How did you feel during your time in the experiment?

Speaker 2  0:03  
I feel good, but is different. So I'm visiting from New Mexico. So it's new for me.

Speaker 1  0:13  
It's new, the language the people, that language.

Unknown Speaker  0:17  
So this experience. Good.

Speaker 1  0:20  
Were you able to understand what the robot was saying? Yeah, I like it, but

Unknown Speaker  0:25  
I practice my English.

Speaker 1  0:27  
Okay. And were you able to understand the other participant in the room? Yes. Okay, cool. How did you feel? Or what were your thoughts about the other participants? Did you like them?

Speaker 2  0:40  
Yes. But at the moment, I feel a little nervous, but I don't know what happened. But when they started, I felt it. Was

Unknown Speaker  0:51  
it overall, a good or bad experience.

Unknown Speaker  0:53  
Good experience. Good.

Speaker 1  0:54  
And was your impression of the other participant good or bad? No. It was,

Unknown Speaker  0:59  
yeah, it's everything's good.

Speaker 1  1:01  
Okay. And what did you think of the robot?

Speaker 2  1:05  
It's my free experience. Never see the reward. It's good. I recommend,

Speaker 1  1:12  
okay. Did you think the robot was like, positive or negative? No, it's supposed to be positive. Yes. Okay. It's

Unknown Speaker  1:19  
fine human being so in the future?

Speaker 1  1:23  
How would you feel about working on a team with other participants? Like doing something together with just you would do that? Yeah. And would you feel comfortable sharing something personal with them, like having a personal conversation? Okay. And last question. Do you think the robot changed how you saw the other person at all? Yes. How so?

Speaker 1  1:52  
Like, did did what the robot say to you, or the other person? Make you think anything different? I learned Okay. Cool. Well, those are all the questions I have."
9,PN,Positive,Different,Positive Different,Left,"Speaker 1  0:00  
How did you feel during your time with the robot and the other participant? Rolling fellows who teresting I think, besides the robot, the other person I think she saw I think she sounded nice at first put them on camera then maybe felt different. Like maybe she wanted me to rush maybe. I tried to do my best. Usually feeling maybe pushed a little bit probably, honestly makes me probably fell ups. I didn't really probably want to start saying, Oh, you're making me feel ups? Because then it would make the whole thing probably go nowhere. So

Unknown Speaker  0:43  
how did you feel like the robot? The robot? Interesting. I just wish it had been and just a little bit smoother.

Speaker 1  0:54  
In the interesting, yeah. So overall positive or negative? Or positive, you know? And then about the other participant? Would you work with them on a team? Or how do you feel about them? Well, I think if somebody's a little pushy, it probably doesn't work. So with her, I probably wouldn't try to work with her again. I would probably choose someone different maybe. Okay, good. And then the last question is, do you feel the robot influenced the interaction between you and the other participant? No, I don't think the robot is I think the participant. she I think she said something that probably didn't make any sense. Like, you know, like, there's a question about somebody, yes. Something like about a bicep up? Like, what would you do about a breakup? And then she said, like, like, last someone's tired and then that probably moved from like, well, that's, that's it gonna do the opposite, like, actually create more issue. And that's not a piece of advice. I would say. For real though it would say to anybody, doing something almost like a crime is not a good idea. That's not going to, that's not going to fix that problem."
9,PN,Negative,Different,Negative Different,Right,"Speaker 1  0:00  
Be quick. Okay. How did you feel during your time with the robot, another participant?

Speaker 2  0:06  
It was cool. It was an interesting experience interacting with the robot. I thought the other participants talked a little bit too much.

Speaker 1  0:14  
Okay. Would you say your view of the other participant was positive or negative? Negative, negative? And what about your view of the robot?

Speaker 2  0:26  
Um, the robot. I liked the technology. But I think that the thought process was a little flawed. Okay. It was a little weird, like about the things that they agreed with, or didn't agree with. It was very interesting.

Unknown Speaker  0:43  
Did you feel like the robot was being negative or positive?

Speaker 2  0:47  
Negative to me, like, definitely was shaking his head a lot more to my responses. I mean, sometimes I was giving very polarizing responses, but sometimes they were like, really good answer.

Unknown Speaker  0:58  
Okay. Yeah. And

Unknown Speaker  0:58  
it was just like, No,

Speaker 1  1:00  
gotcha. And then would you describe the experience overall as a positive or negative?

Speaker 2  1:06  
No, it's cool. I love doing stuff like this. Oh, yeah. Cool. And then

Speaker 1  1:11  
a little more about the other participant, would you feel comfortable working on a team with them?

Unknown Speaker  1:16  
I'm sure. Yeah.

Speaker 1  1:19  
What about Would you share a personal piece? No, no. And then, last question, did the robot influence your impression of the other participant in any ways?

Unknown Speaker  1:30  
No, no? No. Okay. Cool."
10,PP,Positive,Same,Positive Same,Left,"Speaker 1  0:00  
Okay, so yeah, so the first question is, how did you feel about your time with a robot and the other participant?

Unknown Speaker  0:08  
It was fine. It was like interesting, but kind of awkward.

Speaker 1  0:12  
Got it? And what were the, like a positive or negative aspects of this experience?

Speaker 2  0:19  
Um, I'm positive, like getting to talk to someone and like, I know their opinions and things like that. I've also never been in a room with the robot. So that was cool.

Speaker 1  0:29  
Got it. Yeah. And tell me what your impression is of the other participant.

Speaker 2  0:37  
I felt like we were quite different and he was nice but also like I don't think like just like we were not that similar.

Unknown Speaker  0:46  
Got it. And what is your impression of the robot?

Speaker 2  0:51  
Cuz it's kinda like a bit creepy. But also like really impressive. Like it was really able to like communicate and stuff like that which is really good.

Speaker 1  0:58  
Got it seems like the robot got disconnected. Would you say this interruption kind of disturbed a steady like, interaction for

Unknown Speaker  1:06  
you think that it was I mean, I

Unknown Speaker  1:09  
got it. Thank you so much."
10,PP,Positive,Same,Positive Same,Right,"Speaker 1  0:00  
Okay, so the first question is, what is your? How did you feel about your time with the robot and the other purchases?

Speaker 2  0:08  
I thought it was very interesting is I've never seen a robot like that interactive before. And the way that the robot got both of our opinions and we kind of agree, then we agree on like all of them. And the robot, either suck didn't agree with us all the time, which made it interesting.

Unknown Speaker  0:26  
Were there any positive or negative aspects?

Speaker 2  0:31  
positive aspects, like, like I said, previously, it didn't just agree with us, I've actually kind of gave some sort of feedback.

Unknown Speaker  0:41  
What are your impressions of the other [participant]?

Speaker 2  0:44  
They were, they were up until listening to me as I was to the customer says it was a good experience.

Speaker 1  0:54  
And then what are your impressions of the robot? I think it's both. So real positive, yeah. And then, did the robot influence the interaction between you and the other person?

Speaker 2  1:08  
It did by asking mine and then the other participants and then our joint answer. So that that influenced some that obviously we had to like, talk to each other and like talk it over. So yeah, influenced by quite a bit.

Speaker 1  1:21  
And then do you think the interference affected their experience to you and the other person? No, that's it. Yeah. So

Unknown Speaker  1:30  
the"
11,NN,Negative,Same,Negative Same,Left,"Speaker 1  0:00  
First question is what is your what? How do you feel with a robot and the other participant in this experience? How did I feel? Yeah? Well, I was personally, I was very curious as to what the robot felt were correct answers. Right. So like some of the answers that we gave were seemed pretty decent robotic chickens hen. Got it. And my second question is, What is your impression of the other participant? Very pleasant. Pleasant. Yeah. And last question is What is your impression of the robot? Well, judgmental? Yes. It's shaking the head yes or no? The. But I felt that as Robert was regurgitating our answers that how much longer will you need until you can take them up for liberty? Take three minutes. Okay. I didn't. I wasn't really sure how the robot was interpreting our responses whether you could actually sift through complicated. Got it? Yes. All right. Thank you so much."
11,NN,Negative,Same,Negative Same,Right,"Speaker 1  0:00  
How do you feel during your interaction with a robot? Any any other participant? It was good. It was good. And what is your impression of the other participant? Awesome. Got it. And last question is What is your impression of the robot? It was good. Yeah, it's good. It was sometimes he wasn't responsive right away. But other than that, but the robot seems to be a little bit negative towards you. What do you feel about that? I just thought it was a part of the experience like so I didn't really thought it was still rated like good. Yeah. Okay, interesting. Thank you so much. Thanks."
12,PN,Positive,Different,Positive Different,Left,"Speaker 1  0:00  
Just ask you. So how do you feel about your interaction with the other participant and the other robot? Refunds are only going to be a brief answer. Yeah, I'm sorry. Can you repeat the question? Just like how do you overall how do you feel about your time with the robot in the other participant? It was it was fun. Robot definitely seems to have favorites. Got it. What is the impression of the robot? It's in very

Speaker 1  0:37  
it was it was definitely picking favorites. Maybe a little discriminatory. Got it. And last question is What is your impression of the other participant? seemed like a very genuine nice person. Okay. Thanks. Thank you so much."
12,PN,Negative,Different,Negative Different,Right,"Speaker 1  0:00  
So, how did you feel about your time earlier with the robot and the participant?

Speaker 2  0:05  
It was fine. Except the robot was impartial to my answers.

Unknown Speaker  0:10  
Got it. So what is your impression of the robot?

Speaker 2  0:13  
It was just randomly choosing, like, I mean, I feel like for some reason, it did not like my answers and like preferred his Overmind

Unknown Speaker  0:22  
got it and what is your impression of the other participant?

Speaker 2  0:25  
My impression of the other [participant]? Yeah, I thought the participant was very nice.

Unknown Speaker  0:30  
Got it. Okay."
13,PN,Positive,Different,Positive Different,Left,"Speaker 1  0:00  
So our first question is kind of like how overall how do you feel about your interaction with a robot and the other participant? Good. Do you notice any positive or negative aspects? about both of them? Yeah.

Speaker 1  0:22  
AI is just a little scary. But it was impressive at the same time. Got it. Okay. So what is your impression of the robot then? would say the robot is impressive. It's better than my Alexa. Okay, and last question is What is your impression of the other participant? Nice. [Other participant is] a good guy. Okay, thank you so much."
13,PN,Negative,Different,Negative Different,Right,"Speaker 1  0:00  
Interview. The first question is overall, how did you feel during your interaction with a robot and the other participant comfortable? And tell me about your impression of the other participant impression like, like, it can be nice. It can be nice. Yeah. Nice. Got it. Would you work on like the same team with the other participant on like other things together? Sure. And last question is What is your impression of the robot? Love it. Love it so cool. Even though the robot tends to be negative towards you when it when it responds to you? Yeah. Interesting. Robot had his own thoughts. Got it. Thank you so much. Yeah."
18,PP,Positive,Same,Positive Same,Left,"Speaker 1  0:00  
The entire experience earlier. Um, I mean, I don't know if this is meant to be like a therapy robot or something. But I think it's a good mediator. In instances where maybe there's some issues with differing opinions or being able to come up with proper collaboration or trying to improve communication. So having this certificate, I think it's nice, and it basically encourages brainstorming after hearing one another's ideas and getting feedback from a, I guess, like an objective opinion from from an AI. Got it? And what is your impression of the robot? You know, it seemed pleasant. You know, it's kind of for [EQ], where it will repeat back to validate what they're hearing you say that sometimes when it says it agrees or disagree, it doesn't really go into details. So it would be nice. Sometimes I'll say like, Yeah, this is great. But it has limitations to what it's got it. What are the limitations? You know, we're asking you more, you want to know, limitations or something, but it just kind of leaves you hanging? Got it, you know. And our last question is, What is your impression of the other participant? I think he was very articulate. He had a high, I would say, EQ, we have very similar. Even when I was thinking about my answer, his answer was reverse similar to mine. And we it was easy to agree upon answers. He never tried to convince me. You know, we would try to collaborate on the ideas that we knew were very similar. And then try to figure out how to incorporate or what, you know, kind of talk through things that we didn't agree on. Got it. So that's nice. Okay,"
18,PP,Positive,Same,Positive Same,Right,"Speaker 1  0:00  
machines and overall what is your How do you feel about the interaction with the robot and the other participant? It was good. Robot was very if I liked the therapy session, got it. What is your impression of the robot? It was pretty cool. I thought it was gonna be like pre programmed, but like, I guess it's got like a human pretty much like a therapist. And what is your impression the other participant in that article, they had different perspectives, but for the most part, we pretty much agreed. Got it like to say thank you so much."
19,NN,Negative,Same,Negative Same,Left,"Speaker 1  0:00  
Okay, so the first question was how did you feel during your time with the robot and the other participant

Speaker 2  0:07  
felt casual felt good. I feel like the other participant I clicked really well. And we were, were were talking for too long, honestly, because the robot would be like, Okay, press my foot. So, um, yeah, I felt like we clicked really well. The robot was very, like, disagreed with every single thing we said was, like, okay, cool. Or like, whatever. So, but yeah, overall, it was good. How did you feel about the other participant? Um, he was really nice. Um, he was he was cool. He seemed like he had a good head on his shoulders that he knew what he was talking about. He was very emotionally mature, very emotionally intelligent. That's the word I'm looking for. And a lot of people don't have that. So that's what, that's the vibe I got from it. So do you feel like you'd disclose personal information if you had to? To the participant? Um, depending? I'd have to get to know him a little bit more. But yeah, probably, I mean, just from based off of the, if that's how he is all the time, but yeah, but I'd have to get to know him a little more, obviously. So that's fine.

Unknown Speaker  1:11  
And what is your impression of the robot?

Speaker 2  1:12  
The robot? Um, I mean, I was impressed with how well it tracked what we were saying and everything. And I was impressed with how it functioned. I was I was wondering, like, so what's causing you to agree or disagree? Is it like, is it genuinely like reading picking up things? Or is it just saying that to see how we react to this disagreement? Um, so that's, it was it was a cool robot. I didn't mind I had a cool impression of it. And I'm like, it was cool. But yeah.

Speaker 1  1:42  
And then the last question is, did the robots influence the interaction between you two?

Speaker 2  1:49  
I don't think so. We kind of were giggling the whole time. Because every question toward the end, it was like, No, so we were kind of like, Ha didn't like your answer. So not really, though, because there were times where it didn't like our answer, and we'd still be like, well, we stand by that we both agree with it. So we're gonna make that or to answer and so yeah, I think it was the most part. Pretty,

Unknown Speaker  2:11  
pretty good. That's it. Okay. Awesome."
